,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
幣今,267,238,28.203292158110067,270.0,241.0,39.117989336940624,-9.766294964105366,51.36762902316948,45.85036516512535,905.1871830042369,805.2603732643515
幣億元年,268,252,27.842567415418678,272.0,255.0,38.788734198305185,-9.76560316193319,51.748129978896664,48.51387185521562,903.7016662572212,853.500303396297
幣升值,270,241,28.16847707476141,276.0,246.0,39.112341469962935,-9.774303306727894,52.50913189035102,46.801617554443304,900.8390732847157,805.8057331159542
幅收,401,244,29.77049956153159,528.0,323.0,40.96521128127728,-10.03425280221564,100.45225231197587,61.45090434993978,899.2227308135252,542.2893719006348
國經,962,697,25.235797879796934,1991.0,1440.0,35.595804416955964,-10.479381686095708,378.788701426409,273.96068812357055,897.9555554403878,653.2406551415933
餘額,507,234,31.07137569492954,765.0,391.0,41.595112329285264,-10.26715514891385,145.54161556564688,74.38793684466395,897.6962580091853,342.4750273408133
大立,1052,559,27.27853076283134,2263.0,948.0,39.77325141276852,-10.281973733386108,430.5368314053057,180.35745301468395,897.0579094455562,794.9223943401697
至億元,572,454,26.71905522639246,923.0,751.0,37.50825234491996,-10.257077158008972,175.60119106809418,142.8781088755566,894.8231772625126,677.4783897871839
今天收,431,415,26.32471632915658,594.0,569.0,37.44632240758268,-10.069370618181818,113.00878385097286,108.25252190438309,894.7836628459283,869.2085289350764
元三大法人,271,177,30.221984367958136,279.0,185.0,41.06594504216707,-9.797974796790681,53.0798833239418,35.19633840476427,894.6737309553715,571.3173401894051
盤中一,417,363,27.14325292532759,564.0,495.0,38.20554483963952,-10.063923632590026,107.30126951506513,94.17398654247738,893.8692347019628,767.3820357904011
個基,466,331,28.23132351088044,673.0,501.0,39.03535830511968,-10.168256429993988,128.0385716021965,95.31548940965892,892.058741794994,582.7718965326914
刺激,823,612,25.738415761205918,1593.0,1257.0,35.81040376658299,-10.473519630364107,303.06901123669996,239.14485067453347,891.9692316059784,581.325343139911
亞幣,267,172,30.34267372514341,273.0,178.0,41.18625543583712,-9.788057777764818,51.93838045676025,33.86458505971913,890.5071701083654,563.4615875869772
率政策,287,212,29.28295818946627,308.0,232.0,40.15477089347551,-9.843919801280483,58.597147181985925,44.13811086435303,890.2799143683393,638.3964622043925
數上漲,533,305,29.3576026615601,832.0,494.0,40.246164008585545,-10.235992444866696,158.28839758250743,93.9837360646138,887.0440735436553,473.7826512305882
元創,667,568,25.596873294312402,1171.0,1008.0,36.27476562340178,-10.327370734196348,222.78330957826466,191.7724816864994,885.7417031050865,738.0993575904703
幅約,421,259,29.55751197049676,576.0,392.0,40.031354071821326,-10.168202482377112,109.58427524942823,74.57818732252754,884.9787380642451,456.05030387981896
國際油,640,433,27.480818422065763,1102.0,754.0,38.325694796089735,-10.308423344291652,209.6560266056769,143.44886030914736,883.332277326481,584.4581986610975
點漲幅成交,257,227,28.349762937600737,258.0,228.0,39.21184101334904,-9.758164315759224,49.08462328880639,43.377108952898666,880.6995139517707,777.3078227299077
較第季,423,275,29.15496183767211,582.0,400.0,39.93892489000722,-10.128462153727597,110.72577811660976,76.10019114543627,880.6909403714433,519.8559079408366
萬元以,576,325,29.20333195439386,942.0,587.0,39.53948785007726,-10.344968341784545,179.21595014750238,111.67703050592772,878.4797451776556,407.48477200379574
