,tf,df,tfidf,all_tf,all_df,all_tf-idf,midf,tf_ev,df_ev,tf_chi,df_chi
的時候,137,121,26.139376354962717,1365.0,1151.0,35.87386475896372,-11.463835830344161,150.9527992309987,127.28693913177987,-1.289678676860067,-0.31052363986680764
經濟發,109,82,27.344198824640603,1099.0,911.0,36.799031077272986,-11.619063617214724,121.5363563039323,100.74578761863722,-1.293112893611227,-3.488032221984886
容量,105,65,28.478165440250372,1061.0,569.0,40.386962773462024,-11.380733131449713,117.33400731435137,62.924646712408986,-1.2965357607100665,0.06844839809748911
表示為,104,102,25.886684584700287,1052.0,1021.0,35.69081306181679,-11.514804972099414,116.33871413260853,112.91048206216094,-1.3086260027998804,-1.0542742945973866
後一,282,243,24.69579622875865,2730.0,2314.0,32.67560711882783,-11.464911431632093,301.9055984619974,255.90093583921686,-1.3124395577584786,-0.6503850600693423
訪時,240,222,24.68191893258208,2337.0,2134.0,32.814824601599106,-11.474316017208437,258.44446285922635,235.9950722043599,-1.3163300401242677,-0.829941253331088
局說,101,80,27.116614863777556,1024.0,838.0,37.136454723792156,-11.560231433027221,113.24224645607522,92.67285403338968,-1.3234689612892783,-1.732991079499258
中心,1574,948,19.70680421566382,14652.0,8218.0,25.412067444340263,-11.370967614407352,1620.3372998773575,908.8132630625256,-1.325122466838647,1.6896764321332005
金融機,118,86,27.45052739657409,1187.0,776.0,38.44908054252181,-11.41104519114873,131.26811185875127,85.8163898924945,-1.3410933531653428,0.0003928465368959808
示為,115,112,25.810492666391273,1160.0,1108.0,35.470297366878206,-11.503052963231154,128.2822323135227,122.53164948567513,-1.3752309423429798,-0.9051999328719406
任的,118,103,26.40960154015234,1189.0,1062.0,35.921666083489924,-11.544420180791267,131.48928812136077,117.44459544565613,-1.3838457612846777,-1.7765512052465162
民眾,2423,1269,18.159299499750134,22445.0,11780.0,22.467645050548445,-11.439413956710208,2482.1506071353597,1302.728186770084,-1.409581801532828,-0.8732370991512446
會不,218,195,25.143676445136066,2137.0,1914.0,33.42257217034654,-11.495190980668172,236.32683659827418,211.66568331731247,-1.4212221706787525,-1.3121872004947248
價為,114,104,26.19635253835884,1153.0,1062.0,35.784994483415296,-11.53475826987953,127.50811539438939,117.44459544565613,-1.4310397494602818,-1.5390844168814686
培育,121,91,27.242420634845285,1220.0,841.0,37.927493015092494,-11.434972120675116,134.91752019180836,93.00461842730397,-1.4356724613231813,-0.04320747837084717
們不,117,91,27.084409774290705,1182.0,1048.0,36.00257556632479,-11.655019325583156,130.71517120222745,115.8963616073895,-1.439051943063238,-5.348130111155945
金融機構,115,83,27.53200905189333,1163.0,759.0,38.530378923575036,-11.424401136818052,128.613996707437,83.93639166031356,-1.4410632675672708,-0.010446354961901055
金門,293,124,29.332360041795088,2842.0,1504.0,36.68009923599712,-11.706841906123767,314.2914691681306,166.32454948236048,-1.4423765956401096,-10.770313188641849
個百,237,137,27.75612156090619,2317.0,1316.0,37.011424696489975,-11.473611153276156,256.23270023313114,145.53398079706542,-1.443597003508667,-0.5004249031450252
明確,215,188,25.32199932088695,2111.0,1829.0,33.76852483633994,-11.486322652779936,233.45154518435038,202.2656921564078,-1.4583733828845382,-1.0061517132822748
站在,130,118,26.055111452759906,1307.0,1143.0,35.74136729539393,-11.481967006548164,144.53868761532257,126.40223408134177,-1.4624004206990338,-0.5585149508689116
消防,112,64,28.89189713772968,1136.0,610.0,40.17412138602437,-11.465815841026703,125.62811716220845,67.45876009590418,-1.478375873030681,-0.17733829355908148
平島,348,84,32.75642748871536,3359.0,672.0,44.711719434763964,-11.290681508898855,371.4655330526921,74.31522423679937,-1.48232121812733,1.2621220287865742
初步,177,146,26.110496556296006,1754.0,1456.0,34.97742088978948,-11.511081574267314,193.9715823085507,161.01631917973194,-1.4849319814164021,-1.400416074943843
的政,507,379,23.664003667102214,4841.0,3735.0,30.234745501001697,-11.49920685970351,535.3571436463478,413.04667042328214,-1.5020395362666614,-2.8064038519513885
自月日,124,110,26.25389095505918,1253.0,1162.0,35.42281811006033,-11.568657538838458,138.5669285248655,128.50340857613222,-1.5313567884306671,-2.664334998806211
試驗,184,102,28.503355728936658,1824.0,748.0,40.80626705546601,-11.203670131909226,201.71275149988398,82.7199222159612,-1.5553878639983876,4.4937348754767195
會理,161,139,26.008743627722048,1607.0,1317.0,35.45697929532361,-11.459877735831608,177.71512700675086,145.64456892837018,-1.5721535671029212,-0.30313726470347185
上午在,161,157,25.268199632485498,1607.0,1567.0,34.00011125632902,-11.511912404226731,177.71512700675086,173.29160175456042,-1.5721535671029212,-1.5316165644606103
年每,102,89,26.56451684378219,1045.0,875.0,36.88794177508207,-11.496827483844493,115.5645972134752,96.76461489166583,-1.5921683802863138,-0.6230505281644165
經濟發展,105,78,27.44732658715836,1074.0,887.0,36.90623979850919,-11.642376122839007,118.77165302131327,98.09167246732297,-1.5968324268873584,-4.115286164262915
多雲至度月日,254,18,41.321628342114394,2487.0,136.0,57.32706360395093,-11.233523095058906,275.0326825549405,15.03998585744749,-1.608440609121171,0.5825593060496306
新政府,533,279,26.05731184653439,5092.0,2960.0,32.61342552163195,-11.57297273271576,563.1147646038428,327.3408686620924,-1.610504828057342,-7.138856790344571
易所,166,89,28.86449551708849,1657.0,1101.0,37.09362925160369,-11.72657773420956,183.24453357198888,121.75753256654183,-1.6228256980917044,-8.813055892551137
人都,247,222,24.791412872373762,2423.0,2184.0,32.746611113730644,-11.497475922211535,267.9550421514358,241.52447876959792,-1.6387592039424455,-1.5783297542611836
透明,140,111,26.747549719385763,1411.0,1059.0,36.70597875319375,-11.466790111508091,156.0398532710177,117.11283105174185,-1.648789636509887,-0.3190658370356559
自主,127,101,26.860581939718852,1287.0,1005.0,36.72389904345263,-11.508862270870935,142.32692498922736,111.14107196128477,-1.6505283848659191,-0.9253225536620713
